desc,variable,value
有機速食紫菜紅米粥,bcode,8856977001975
有機速食紫菜紅米粥 (3包),bcode,8856977001876
有機麥蘆卡蜂蜜(1000g),bcode,
有機麥蘆卡蜂蜜(250g),bcode,
有機麥蘆卡蜂蜜(500g),bcode,
有機提子乾,bcode,4891690000616
有機無糖豆乳360ml,bcode,4711574558540
有機猴頭菇,bcode,6935953593122
有機發芽米糊**香蕉及南瓜,bcode,8856977009919
有機發芽米糊**香蕉及菠菜,bcode,8856977009810
有機發芽黃豆,bcode,4897031569950
有機發芽糙米1kg,bcode,4897014723768
有機發酵果汁（蘋果味，蜜桃味，紅梅味）,bcode,
有機粟米,bcode,9314839000908
有機粥- 3款合1,bcode,8856977001807
有機紫米八寶粥,bcode,
有機紫米八寶粥,bcode,4710336106678
有機紫菜,bcode,000213
有機紫菜60g,bcode,6932394805319
有機紫菜芝麻,bcode,8856977001777
有機菊花,bcode,
有機菜 2,bcode,9314839000906
有機菜 3,bcode,9314839000907
有機菜（4等）,bcode,
有機菜（5等）,bcode,
有機菜（三等）,bcode,
有機菜1,bcode,9314839000905
有機菠蘿脆片,bcode,
有機雲耳玉露(低糖),bcode,4713327255997
有機雲耳玉露（低糖）,bcode,4713327256000
有機雲耳玉露(原味 ),bcode,4713327255966
有機雲耳玉露（原味）,bcode,4713327255980
有機黃豆,bcode,8859060300320
有機黃豆350g,bcode,4897014722679
有機黃豆薄鹽醬油,bcode,
有機黃咖喱（椰漿）,bcode,8859060300115
有機黃耆,bcode,
有機黑木耳,bcode,6927255479846
有機黑米350g,bcode,4891489000386
有機黑豆黑芝麻奶粉,bcode,
有機黑豆醬油,bcode,
有機黑芝麻,bcode,8856977003016
有機黑芝麻米糧香脆條,bcode,8856977001845
有機黑芝麻香脆粒,bcode,8856977001852
有機黑芝麻粉,bcode,8856977003009
有機黑芝麻糊,bcode,8856977001029
有機黑芝麻糊(加薑),bcode,8856977001098
有機黑芝麻糊（獨立包裝）,bcode,8856977000053
有機黑胡椒粉,bcode,
有機黑麥,bcode,4891489000614
有機黑麥仁,bcode,
有機黑麥汁(悅心),bcode,
有機黑糖1lb,bcode,4891489081033
有機黑糯米1kg,bcode,
有機椰子果醋240ml,bcode,
有機椰子油(斯里蘭卡),bcode,018787505014
有機椰子花蜜,bcode,8857121775735
有機椰子花蜜糖,bcode,4712511473568
有機椰子花糖,bcode,
有機椰子醬,bcode,
有機椰奶粉（購買椰子油473ml，以$10換購）,bcode,7503011915163
有機椰糖,bcode,
有機腰果 (無烘焙),bcode,
有機葡萄柚汁,bcode,
有機蜂蜜杏仁腰果,bcode,4712511474886
有機補氣茶,bcode,4712511472592
有機綜合果仁麥片,bcode,
有機綜合堅果 (無烘焙),bcode,
有機綜合蔬果汁,bcode,4711574560147
有機綜合養生果仁,bcode,
有機綠豆,bcode,8859060300276
有機綠茶薏仁糊,bcode,8856977001166
有機舞茸,bcode,6935953593610
有機辣椒粉,bcode,
有機辣椒醬200ml,bcode,8859060300498
有機銀耳（小盒）,bcode,6954704602142
有機鳳梨汁,bcode,
有機鳳梨胡蘿蔔汁,bcode,
有機鳳梨脆片,bcode,
有機熱情果醬220g,bcode,8854843000503
有機蓮子,bcode,
有機蔬果汁,bcode,
有機蔬果汁 350mL,bcode,4711574560130
有機燒茄子蕃茄醬,bcode,8021115290225
有機燕麥仁,bcode,
有機燕麥果麥片,bcode,
有機燕麥面（即沖）,bcode,4711601135294
有機糖蜜,bcode,
有機蕃茄汁,bcode,
有機蕃茄醬,bcode,
有機蕎麥面（換購品）,bcode,4711601135300
有機龍舌蘭蜜660g,bcode,7503021714213
有機龍舌蘭蜜糖,bcode,7503023604079
有機龍神花果醬22g,bcode,8854843000502
有機糙米 1lb<新豐>,bcode,4891489000942
有機糙米1kg（OFARM),bcode,4897014722082
有機糙米小圈圈（巧克力）,bcode,9555235990103
有機糙米脆餅-奇異籽,bcode,8858785400803
有機糙米脆餅-海鹽香醋,bcode,8858785400827
有機糙米脆餅-黑米,bcode,8858785400780
有機糙米脆餅-綠茶海苔,bcode,8858785400810
有機糙米脆餅-酸忌廉韭菜,bcode,8858785400834
有機糙米餅,bcode,4715104270131
有機糙米麩(無糖),bcode,
有機糙米纖維粉3包裝,bcode,4897021311286
有機糙米纖維粉8包裝,bcode,9555487901087
有機薏仁糊(無糖),bcode,8856977100111
有機薑,bcode,
有機禮籃O3,bcode,
有機醬油,bcode,
有機藜麥300g,bcode,7503021714701
有機蘆薈百香果酵素,bcode,
有機蘋果脆片,bcode,
有機蘋果脆片,bcode,
有轆可摺助行架 W44X H78-96CM,bcode,000203
有鎖掣切藥丸器,bcode,000085
有鎖掣切藥丸器，透明綠,bcode,9314839000923
有鎖掣切藥丸器，透明藍(N),bcode,000085N
灰頭銀身灰腳手杖,bcode,
百合杏仁粉（16小包）,bcode,4710960912225
百合杏仁粉（獨立小包）,bcode,4710960762226
百花蜜,bcode,
百花蜜  (500gm),bcode,000123
百香果醬,bcode,4710383000097
竹炭包,bcode,
竹炭包（中）,bcode,4891690000623
竹炭包特惠裝 (四件套裝),bcode,000046
竹炭石鹼(3件裝),bcode,000030
竹炭防滑坐墊,bcode,000032
竹炭眼罩,bcode,
竹炭眼罩,bcode,000033
竹炭酥  200克,bcode,000043
竹炭酥  201克,bcode,
竹炭調整型連指護腕A1-203F,bcode,4712764390223
竹炭調整型護腕A1-202F,bcode,4712764390216
竹炭鞋墊,bcode,000044
竹香咖啡(濾泡式),bcode,
竹碳碳包,bcode,6930502423479
竹碳碳包,bcode,6930502422014
竹醋液,bcode,
竹醋貼（8片),bcode,9556001125505
米餅 280g,bcode,4710879000983
米醋100ml,bcode,4710783088718
老人椅 BS-7176 防火標準附餐托板及活動腳踏,bcode,000209
老花鏡,bcode,4947678266412
老薑母茶（18小包）,bcode,4710960778081
老薑母茶（獨立小包）,bcode,4710960768082
老薑母茶粉,bcode,
老薑母茶塊,bcode,2710030822012
老薑黑糖轉310g,bcode,
肌力拉筋帶(5M),bcode,4711769145166
肌力拉筋帶(紫色)5M,bcode,
肌力拉筋帶(銀色)5M,bcode,4711769145197
自走用輪椅鼓式?車(重11.5kg),bcode,000027
自動吹氣墊,bcode,9556001125484
自然風素拌醬,bcode,
自然素材-山葵脆餅,bcode,4714221818325
自然素材-胡椒脆餅,bcode,4714221818318
自然素材-蒜香脆餅,bcode,4714221818523
自然素材-蔥燒脆餅,bcode,4714221818530
衣物溫和漂白劑,bcode,
衣櫃用碳包130g,bcode,4897040130233
位元堂中醫防掉髮洗髮露（防屑配方）,bcode,4891811320274
位元堂中醫防掉髮洗髮露（烏髮配方）,bcode,4891811320267
位元堂中醫防掉髮洗髮露（強韌配方）,bcode,4891811320250
位元堂五指毛桃燉雞湯320g,bcode,4891811332185
位元堂包裝精選鯰魚膠,bcode,4891811312866
位元堂原味龜苓膏200g,bcode,4891811348643
位元堂唧唧龜苓爽（秋梨味）250g,bcode,4891811365862
位元堂唧唧龜苓爽（原味）250g,bcode,4891811365787
位元堂唧唧龜苓爽（椰果味）250g,bcode,4891811365794
位元堂唧唧龜苓膏250g(菊花）,bcode,4891811365893
位元堂猴頭菇響螺燉雞湯320g,bcode,4891811332161
位元堂當歸紅棗燉烏雞320g,bcode,4891811332178
位元堂瑤柱蟲草燉湯320g,bcode,4891811332192
位元堂精選蟲草花（2兩裝）,bcode,4891811312996
位元堂鮑汁螺片,bcode,4891811332123
位元堂龜苓膏2杯裝（士多啤梨味）100g,bcode,
位元堂龜苓膏2杯裝（奇異果）100g,bcode,
位元堂龜苓膏2杯裝（提子味）100g,bcode,4891811348766
位元堂龜苓膏2杯裝（藍莓味）100g,bcode,4891811348773
位元堂雙層潤喉軟糖（川貝枇杷配方）,bcode,4891811365725
位元堂雙層潤喉軟糖（蜂膠八仙果配方）,bcode,4891811365732
位元堂雙層潤喉軟糖（蜂膠羅漢果配方）,bcode,4891811365749
位元堂靈芝龜苓膏200g,bcode,4891811348650
冷熱墊28X11CM,bcode,RT7201
冷熱墊42X36.5CM,bcode,RT7207
利秘樂口服液 200ml,bcode,000084
利秘樂口服液 200ml-有助排便之果糖漿 Laevolac - 200ml,bcode,9088881296034
助行手推車,bcode,
即沖朱古力8轂營養餐,bcode,
吟香梅汁,bcode,
坐墊JML1,bcode,
宏亞蜜蘭諾-可可8入,bcode,
宏亞蜜蘭諾-杏仁千層8入,bcode,4710098163193
宏亞蜜蘭諾-楓糖8入,bcode,4710098163650
希必定消毒藥水25包/盒,bcode,
"床墊紙 17"" X 24"" (10張/包)                                  ",bcode,000069
"床墊紙 23"" X 36"" (10張/包)                                  ",bcode,000068
床褥,bcode,9556001125485
快凝寶,bcode,0043900225104
折背大輪手動輪椅（紅18吋）,bcode,
杏仁海苔酥,bcode,4711945790074
杏仁海苔酥,bcode,4711945737185
杏仁粉,bcode,4710425200409
杏仁糊,bcode,
杏仁糊,bcode,
"沖涼扶手24""                                                 ",bcode,
沙茶醬,bcode,
秀山榨菜 (即食),bcode,
"肘關節矽膠墊片護套 Coolmax Tennis Elbow Support, One size fi",bcode,4710958592033
角角香蕉片（BBQ）,bcode,
角角香蕉片（芝士玉米）,bcode,8859164275036
角角香蕉片（原味）,bcode,8859164275029
豆脆片,bcode,4711202223512
豆豉香魚辣椒,bcode,471078306074
豆豉香魚辣椒240,bcode,4710783063135
豆豉朝天辣椒,bcode,4710783063098
足跟墊/對,bcode,
車用頸枕,bcode,000045
里仁天然無泡沫牙膏144g,bcode,4710494051216
里仁天然無泡沫牙膏50g,bcode,4710494053968
里仁有機蔬果酵素原液(無糖),bcode,
里仁有機轉型期蔬果酵素(有糖),bcode,
里仁無泡沫牙膏,bcode,4710494050196
里仁煎餅(杏仁)特價,bcode,4710126010437
防褥瘡坐墊,bcode,
亞麻仁籽,bcode,
亞麻仁養生薄餅,bcode,4710984562093
亞麻籽水果酵素餅,bcode,9555021804874
亞麻堅果酥,bcode,4712967086480
佳膳（糖尿配方）,bcode,7613033866999
佳膳奶粉（細罐）,bcode,9314839000922
佳膳成人升級配方,bcode,7613032992194
佳膳成人升級配方800G,bcode,7613034773685
佳膳成人配方400g,bcode,7613032992033
佳膳成人配方奶粉400g,bcode,7613034773661
佳膳糖尿配方,bcode,
佳膳糖適400g,bcode,7613033869570
佳膳纖維400g,bcode,
佳膳纖維配方,bcode,7613033859809
佳膳纖維配方400G,bcode,7613033858574
使立消（士多啤梨味）慈善換購價,bcode,4895173212437
兒童佳膳400G,bcode,7613032991937
其他有機菜2,bcode,
初榨椰子油473ml,bcode,
刺痛靈 潘氏鎮痛膏,bcode,4897024471079
味付海苔(原味),bcode,
味榮有機香醇腐乳,bcode,4711175000943
味榮有機乾豆豉,bcode,4711175000677
味榮有機濕豆豉,bcode,4711175000684
味噌沖泡麵,bcode,4710589440482
和然有機大豆瓣醬（800g）,bcode,6921204802495
和然有機醬油（500ml）,bcode,6925843403662
咖哩粉,bcode,
"夜用金裝 ""護理寶""隨意貼成人紙尿片-大碼                      ",bcode,4897002230186
官燕棧花膠雪耳燉西施骨湯,bcode,4895158003104
官燕棧甜脆核桃,bcode,4895158008550
官燕棧猴頭菇燉響螺燉雞湯,bcode,4895158000868
官燕棧當歸紅棗煲雞湯,bcode,
官燕棧靈芝蟲草花燉雞湯,bcode,4895158000844
岳盛小阿姨黑糖薑母茶,bcode,4710947381167
怡保康400g,bcode,9314839000921
怡保康400g,bcode,4891035043478
怡美軒寄賣產品,bcode,
怡美軒寄賣產品02,bcode,
怡寶康900G,bcode,4891035043492
拐杖椅,bcode,4891690000605
拐杖椅(灰色),bcode,
"拐杖腳, 四腳拐杖腳適用（灰色）19MM",bcode,000099
"拐杖腳, 四腳拐杖腳適用（啡色）19MM",bcode,00000101
"拐杖腳, 四腳拐杖腳適用（黑色）19MM",bcode,000100
放大鏡指甲鉗 (日美牌) #B 690,bcode,6926292547877
放大鏡指甲鉗 (博友牌) #190,bcode,6921225467178
放大鏡趾甲鉗 # 185,bcode,000054
放大鏡趾甲鉗 (纖巧型),bcode,000055
放水圍裙,bcode,9556001125499
明愛雙黃白蓮蓉月餅,bcode,9556001125497
易康寄賣產品,bcode,
杭州胎菊75g,bcode,
杭州胎菊75g,bcode,4895158005559
東南黑麥汁,bcode,4716820880239
松鶴片心(L）,bcode,
松鶴片心細碼（20片/包）,bcode,4897012642542
板栗,bcode,819377000120
枇杷羅漢果,bcode,4719865061625
果片餐,bcode,6928740700919
果醋（青梅）,bcode,4710783055062
果醋（桂花酸梅湯）,bcode,4710783058117
果醋（極品烏梅）,bcode,4710783058100
果醋（葡萄）,bcode,4710783055093
果醋（蜜桃）,bcode,4710783055109
果醋（鳳梨）,bcode,4710783055116
果醋（蘋果）,bcode,4710783055055
油切冷泡純綠茶,bcode,4712834114193
油切綠茶試飲包,bcode,
泡菜麵,bcode,
炊飯碳,bcode,4891690000622
爭鮮天津有機甘栗（已剝殼）,bcode,4711946900755
玫瑰岩鹽,bcode,4710425200249
玫瑰花,bcode,
玫瑰花茶,bcode,4712834114537
矽膠 3/4 掌墊  (中),bcode,4710958596703
矽膠全掌墊 (37-38),bcode,4710958596734
"矽膠全掌墊 (39, 40, 42, 44)",bcode,000115
矽膠足跟墊 (中),bcode,4710958596673
肩膊矯形帶 (大碼),bcode,000210
芝麻巧果,bcode,4711202220504
芝麻粒,bcode,9314839000909
芝麻糊（獨立包裝）,bcode,
芬蘭有機-四合一燕麥片,bcode,4897014723034
芬蘭有機-即溶燕麥片（大片）,bcode,
芬蘭有機-黑麥片,bcode,
芬蘭有機燕麥片,bcode,4897014722877
花生巧克力,bcode,4710531101218
花生醬,bcode,4710383001599
花紋手杖,bcode,000096
"花紋拐杖,深木紋",bcode,000094
"花紋拐杖,深木紋",bcode,000113
"花紋拐杖,黑底碎花",bcode,000093
"花紋拐杖,碎花紋",bcode,000114
花紋摺機,bcode,352988030778872
花茶（土象）,bcode,
花茶（水象）,bcode,
花茶（火象）,bcode,
花茶（風象）,bcode,
花寶全能培植土1L,bcode,4891094653106
金桔軟糖,bcode,4712967082857
金桔鮮果乾(150g),bcode,4712967082628
金黃亞麻籽仁,bcode,
金裝禮盒,bcode,100010001
金鉤朝天辣椒,bcode,4710783063104
長者八達通表-classic black,bcode,
長者八達通表MM02C,bcode,
長者拐杖傘（混色）長63CM,bcode,11090033
長者拐杖傘（混色）短,bcode,11090032
長意粉（500g）,bcode,8007255060034
阿里山老薑小黑糖,bcode,4712834112502
阿根廷超大無籽葡萄乾-425g,bcode,4713282760604
阿麻籽粉,bcode,
雨林咖啡酥,bcode,4717760350059
青仁黑豆粉,bcode,4710960882085
青草茶,bcode,
青澀梅果醋600ml/支,bcode,4710783055208
保健頸椎棒,bcode,000034
保健頸椎棒,bcode,
保暖衫,bcode,
保暖褲襪,bcode,
保暖襪（半統長襪）,bcode,
保護頸U枕,bcode,
保護頸U枕,bcode,000036
前掌墊 MIA Metatarsal Cushion - Exrtra Soft （白色）,bcode,RT000218
前掌墊 MIA Metatarsal Cushion - Exrtra Soft （藍色）,bcode,RT000217
勁咬脆米片-香蔥味,bcode,8858785400629
南瓜玉米濃湯,bcode,
南杏洛神甜心,bcode,4710425203127
南棗核桃糕,bcode,4711942855400
南棗核桃糕,bcode,
南棗核桃糕350g,bcode,4710944890464
南薑糖,bcode,4712967082994
品高3層口罩（50個裝）,bcode,
品高3層口罩（獨立包裝）,bcode,
室內無線電話 Amytel France,bcode,000050
帝皇菜即食面（冬蔭功）75g,bcode,8850987139000
拜安康血糖紙CONTOUR 50 STRIPS,bcode,5016003189906
拜安康血糖試紙,bcode,
拜耳贈品（三骨雨傘）,bcode,
拾物器 10209BZ,bcode,
指壓按摩球 (2 只),bcode,RT00024
枸杞菊花茶（18包）,bcode,4710960778029
枸杞菊花茶（獨立小包）,bcode,4710960768020
枸杞菊花養生飲,bcode,4719859741953
柚子參,bcode,4712417850029
柚子蔘（袋裝）,bcode,4712417856144
柚籽皂,bcode,4710942009851
洋車前子,bcode,
洋車前子,bcode,
洋蔥片,bcode,8858358007637
洗傷口生理鹽水-JSM,bcode,
洗傷口消毒藥水-jsm,bcode,
"洗澡椅27""-33""(愛健樂）                                      ",bcode,
洛神花茶（無糖15包入）,bcode,4712417851613
洛神花茶包,bcode,4897047950131
活力檸檬醋600ml/支,bcode,4710783055185
活性15+麥蘆卡蜂蜜(250g),bcode,
活性15+麥蘆卡蜂蜜(500g),bcode,
活性20+麥蘆卡蜂蜜(250g),bcode,
活性20+麥蘆卡蜂蜜(500g),bcode,
活性25+麥蘆卡蜂蜜(250g),bcode,
炸魚皮,bcode,4897025020603
炸蒜蓉,bcode,4897025020160
玻璃清潔劑,bcode,
珊瑚藻,bcode,4713318881013
珊瑚藻凍(白葡萄味),bcode,4713676069030
珍天素香鬆（原味）300g,bcode,4713435206409
珍田-五寶糙米果-180g,bcode,4710664200116
珍田-活力十轂玄米棒-180g,bcode,4710664200154
皇帝菜即食面（冬菇）75gX3,bcode,8850987139017
皇帝菜麵（素食）,bcode,8852523112010
研磨阿里山老薑茶飲,bcode,4712834112465
研磨桂圓紅棗海燕窩,bcode,4712834112434
約束衣（中碼藍色）,bcode,9556001125498
紅火龍果乾,bcode,8858945200014
紅外線額頭探體?計,bcode,000196
紅外線體溫計,bcode,IT001
紅布朗 十穀米-900g,bcode,4713282760529
紅布朗 台灣濃味杏仁-500g,bcode,4713282767672
紅布朗 有機砂糖-500g,bcode,4713282760284
紅布朗 有機高纖燕麥奶盒裝(8入),bcode,4713282768808
紅布朗 有機黑糖粉-450g,bcode,4713282760291
紅布朗 香醇高鈣燕麥奶罐-850g,bcode,4713282768860
紅布朗 香醇黑芝麻粉 500g,bcode,4713282762202
紅布朗 黃金亞麻籽粉-350g,bcode,4713282766699
紅布朗 黃金蕎麥杏仁茶-500g,bcode,4713282762226
紅布朗 黑櫻桃乾-120g,bcode,4713282760208
紅布朗 樂活精力湯-450g,bcode,4713282766668
紅布朗 蔓越莓乾顆粒(袋)200g,bcode,4713282760512
紅布朗 蔓越莓乾顆粒(罐)150g,bcode,4713282762271
紅布朗 澳洲天然湖鹽-300g,bcode,4713282760161
紅布朗 鹽烤3色Party脆果-170g,bcode,4713282761816
紅布朗八珍堅果（會員優惠裝）,bcode,4713282762608
紅布朗山藥紫米漿-500g,bcode,4713282766606
紅布朗天然岩鹽-600g,bcode,4718749000231
紅布朗台灣濃味黑穀奶-500g,bcode,4713282767665
紅布朗安地斯山玫瑰鹽-300g,bcode,4713282761588
紅布朗有機小米-500g,bcode,4713282760079
紅布朗有機中低筋麵粉-400g,bcode,4713282760321
紅布朗有機全麥麵粉-400g,bcode,4713282760307
紅布朗有機有機黑豆-500g,bcode,4713282760277
紅布朗有機即食黑麥片-300g,bcode,4713282760062
紅布朗有機即食燕麥片-300g,bcode,4713282760055
紅布朗有機杏仁果-200g,bcode,4713282760048
紅布朗有機亞麻仁籽-400g,bcode,4713282760109
紅布朗有機南瓜子-300g,bcode,4713282760338
紅布朗有機洋薏仁-500g,bcode,4713282760154
紅布朗有機紅豆-500g,bcode,4713282760031
紅布朗有機高蛋白黃豆-500g,bcode,4713282760024
紅布朗有機高筋麵粉-400g,bcode,4713282760314
紅布朗有機高纖燕麥奶 - 800g,bcode,4713282760888
紅布朗有機腰果仁-200g,bcode,4713282760086
紅布朗有機葵瓜仁-350g,bcode,4713282760345
紅布朗有機綜合穀物片-300g,bcode,4713282760093
紅布朗有機綠豆-500g,bcode,4713282760260
紅布朗杏仁茶（500g）,bcode,4713282766996
紅布朗杏仁茶-600g,bcode,4714425400029
紅布朗昆布藻鹽-400g,bcode,4718749000286
紅布朗玫瑰鹽杏仁果-120g,bcode,4713282760192
紅布朗芝麻黑豆漿-500g,bcode,4713282760185
紅布朗南杏片,bcode,4713282760352
紅布朗洋車前子殼－有機纖維粉,bcode,4713282760116
紅布朗紅薏仁粉-500g,bcode,4713282766682
紅布朗美國冰茵櫻桃,bcode,4713282767603
紅布朗風味堅果五穀漿-500g,bcode,4713282760789
紅布朗宮廷補氣茶-6g*12包,bcode,4713282766576
紅布朗堅果素香鬆-200g,bcode,4713282767610
紅布朗堅果素香鬆-200g,bcode,47132827676140
紅布朗甜玉米L,bcode,4713282761236
紅布朗荷蘭水解卵磷脂,bcode,4713282760178
紅布朗黃金百杏茶  (24包大盒裝),bcode,
紅布朗黃金百杏茶 (8包小盒裝),bcode,4713282760932
紅布朗黃金百杏茶（獨立包裝）,bcode,4713282760581
紅布朗黃金晶冰糖,bcode,4713282760147
紅布朗黑芝麻粉-500g,bcode,4714425400043
紅布朗-輕烘焙-雙桃果仁,bcode,4713282762622
紅布朗養生堅果-200g,bcode,4714425486108
紅布朗-鹽烤杏仁果（170g）,bcode,4713282766880
紅李水果軟糖,bcode,4712967083250
紅珊瑚藻,bcode,4719870800615
紅棗桂圓茶（18包）,bcode,4710960778036
紅棗桂圓茶（獨立小包）,bcode,4710960768037
紅棗龍眼黑糖,bcode,4891690000618
紅棗醬,bcode,
紅薏仁粉,bcode,4711601991326
紅薏仁粉,bcode,
紅薏仁粉（袋裝）,bcode,
紅薏仁粉250g,bcode,4897014722211
紅藜棒,bcode,4710007879184
紅麴海帶芽湯,bcode,
紅麴調味料,bcode,
美人桑堪醋600ml/支,bcode,4710783055130
美心月餅（贈品）,bcode,4892030001098
美國Aubrey天然杏仁膠原護膚乳,bcode,
美國Aubrey天然沙棘護膚乳,bcode,
美國Aubrey天然金銀花玫瑰滋潤洗髮露,bcode,
美國Aubrey天然金銀花玫瑰滋潤潤髮乳,bcode,
美國Aubrey天然薔薇果護膚乳,bcode,
美國Aubrey天然薰衣草依蘭平衡洗髮露,bcode,
美國Aubrey天然薰衣草依蘭平衡潤髮乳,bcode,
美國Aubrey天然藍甘菊補濕洗髮露,bcode,
美國Aubrey天然藍甘菊補濕潤髮乳,bcode,
美國Aubrey有機雲尼拿蜂蜜護唇膏,bcode,
美國Aubrey有機橘子護唇膏,bcode,
美國Aubrey有機薄荷茶樹護唇膏,bcode,
美國Aubrey有機覆盆子護唇膏,bcode,
美國有機純紅石榴藍莓汁,bcode,4860009001035
美國有機無糖可可粉,bcode,735037020041
美國有機蘋果醋,bcode,042563601096
美國無花果乾,bcode,8674220000144
美國紫無花果茸月餅 (瓜子),bcode,
美國紫無花果茸月餅 (原味),bcode,
美國紫無花果茸月餅 (核桃),bcode,
美國雅培金裝加營素,bcode,4891035091493
美聖美國紫無花果月餅券,bcode,
胎菊,bcode,000211
胖達人土鳳梨酥（10件裝）,bcode,
胖達人方塊酥（10件裝）,bcode,
胖達人蛋卷,bcode,
胚芽餅 (8小包),bcode,4710879002239
胚芽餅(大）,bcode,4710879000723
胡麻油,bcode,
苦瓜茶,bcode,4712417851637
苦茶油,bcode,
苦茶粉,bcode,4719866300402
苦茶粉,bcode,
苦茶粉1公斤,bcode,4719866122318
風琴FILE,bcode,
香米2kg,bcode,9310140008059
香茅手工皂,bcode,4710942103191
香茅油,bcode,
香茅透明皂,bcode,4710942007611
香烤鹽焗美國杏仁200g,bcode,4895158008543
香脆米片（香辣）,bcode,8858785400544
香脆米片（原味）,bcode,8858785400520
香脆米片（燒烤）,bcode,8858785400537
香脆鹽焗腰果仁200g,bcode,4895158008536
香梅汁 360mL,bcode,4710696930111
香菇調味料,bcode,
香蓮普洱茶（18入）,bcode,4712834114032
香醇豆奶粉(特價）,bcode,4713282762028
香蕉朱古力,bcode,8859105800013
凍乾水果（杏片）,bcode,6939248100637
凍乾水果（桑莓）,bcode,
凍乾水果（草莓）,bcode,
凍乾水果（草莓）,bcode,6939248100194
凍乾水果（無花果）,bcode,6939248101061
凍乾水果（蜜桃）,bcode,6939248100170
凍乾榴蓮,bcode,
凍乾雜菇,bcode,6937893682287
剝皮辣椒  (辣）,bcode,
原木扶手椅,bcode,
原色雞心棗250g,bcode,
原色雞心棗250g,bcode,4895158005795
原味洋芋卷,bcode,4710425200874
原味洋芋球,bcode,4711202223024
原味燕麥奶,bcode,
夏威夷豆黑棗糕,bcode,4715898170051
家常羅漢果50g,bcode,
家常羅漢果50g,bcode,4895158006730
座地風扇,bcode,9556001125487
悅意有機糙米小圈圈,bcode,9555235990134
悅意有機糙米圈-芝士,bcode,9555235990110
悅意芒果蜂蜜醋,bcode,
悅意蜂蜜醋,bcode,
悅意糙米香,bcode,4897021310289
旅行毛毯,bcode,01170433
核桃粉,bcode,4719865062226
核桃黑米糊500g,bcode,4710960301340
核桃糕,bcode,4711402033072
桂花烏龍茶,bcode,4712834114353
桂圓紅棗小黑糖,bcode,4712834112519
桂圓紅棗醋600ml/支,bcode,4710783055161
桑椹果醬190g,bcode,
桑椹果醬240g,bcode,
桑椹原汁(加糖),bcode,
桑椹酥 (5件),bcode,4711202223178
泰國100%全自然紅糖,bcode,8856977002637
泰國100%龍眼蜂蜜250g,bcode,
泰國GABA發芽香米麵,bcode,8858897600016
泰國GABA發芽黑米麵,bcode,8858897600030
泰國GABA發芽糙米麵,bcode,8858897600023
泰國天然椰子油（1000ml）,bcode,
泰國天然椰子油（美容裝）,bcode,8858929700134
泰國天然椰子油1000ml,bcode,8858929700066
泰國天然椰子油250ml,bcode,8858929700127
泰國天然椰子油480ml,bcode,8858929700165
泰國天然椰子花蜜,bcode,8857121775742
泰國天然椰子花蜜糖（旅行3件裝）,bcode,8857121776770
泰國冬蔭功米通（15gX3),bcode,
泰國有機3色米,bcode,8856972206283
泰國有機三色米（ofarm）,bcode,4897014722655
泰國有機三色米500g,bcode,8856972206269
泰國有機冬陰功米條,bcode,
泰國有機古法鼓油,bcode,8858785401510
泰國有機白米500g,bcode,8856972206061
泰國有機米1kg(Special Price),bcode,8856972206047
泰國有機紅米1kg,bcode,8856972206207
泰國有機紅米500g,bcode,8856972206252
泰國有機紅蔥頭/蒜頭,bcode,
泰國有機香米  5kg,bcode,8856972206078
泰國有機香米（OFARM),bcode,4897014722099
泰國有機香米1kg,bcode,8856972206009
泰國有機香米2kg,bcode,8856972206023
泰國有機香糙米,bcode,8856972206115
泰國有機香糙米1kg,bcode,8856972206108
泰國有機香糙米500g,bcode,8856972206160
泰國有機黑米,bcode,8856972206603
泰國有機黑糯米,bcode,8856972206382
泰國有機椰子油（旅行3件裝）,bcode,8857121776886
泰國有機醬油,bcode,8859060300399
泰國青咖喱+（椰漿及甜羅勒葉）,bcode,8858906400224
泰國威化餅（椰子）,bcode,8850987351419
泰國特級有機胚芽糙米,bcode,8858785402012
泰國清潤桂圓茶,bcode,8858885700025
泰國龍眼肉300g,bcode,
泰國龍眼乾,bcode,8858945200021
浴室消毒濕紙巾,bcode,4897040130752
浴廁清潔劑,bcode,
浴椅,bcode,
浴椅,bcode,
海太郎原味嫩芽,bcode,4971455019755
海洋竹笙,bcode,
海苔米果,bcode,4710984562260
海苔素肉鬆,bcode,4711518007370
海苔脆片,bcode,4711945737154
海苔麥麩卷,bcode,4710425201314
海苔酥,bcode,4713318660397
海苔醬,bcode,
海帶芽,bcode,GFL1008
海帶芽根結,bcode,
消毒火酒75%（1000ml）,bcode,078347851203
消毒酒精棉,bcode,4897002233637
烏梅汁 360mL,bcode,4710696930135
烏梅汁1000mL,bcode,
烏醋240ml,bcode,4710783088817
烤岩生紫菜,bcode,
特惠竹炭5包裝,bcode,
特價有機菜(20/袋）,bcode,
特價蜆殼粉,bcode,4897012640791
珮氏成人抗菌紙尿片(大碼)(10包1箱),bcode,4891811991122
珮氏成人抗菌紙尿片(中碼)(10包1箱),bcode,4891811991115
病床餐檯,bcode,
祖母綠有機吸凍,bcode,
祖母綠諾麗果汁,bcode,
祟德發天然純麥汁,bcode,4002631990695
納豆海苔蘇打餅,bcode,9555021806946
納豆雜菜粥,bcode,9556001125500
紐條粉,bcode,4897012640777
純米醋500ml,bcode,4710783056076
