scode,bcode,bcode2,desc
FD04,,,花茶（水象）
FD02,,,花茶（火象）
FD03,,,花茶（風象）
ML01,4891094653106,4891094653106,花寶全能培植土1L
32050172,4712967082857,,金桔軟糖
32061048,4712967082628,,金桔鮮果乾(150g)
LCL8028,,,金黃亞麻籽仁
100010001,100010001,,金裝禮盒
4710783063104,4710783063104,,金鉤朝天辣椒
SS-RUO02E,,,長者八達通表-classic black
SS-MM02C,,,長者八達通表MM02C
CH0007,11090033,,長者拐杖傘（混色）長63CM
CH0006,11090032,,長者拐杖傘（混色）短
8007255060034,8007255060034,8007255060034,長意粉（500g）
4712834112502,4712834112502,,阿里山老薑小黑糖
4713282760604,4713282760604,,阿根廷超大無籽葡萄乾-425g
LCL2005,,,阿麻籽粉
32054323,4717760350059,,雨林咖啡酥
4710960882085,4710960882085,,青仁黑豆粉
32181807,,,青草茶
4710783055208,4710783055208,,青澀梅果醋600ml/支
0000058,000034,,保健頸椎棒
0001046,,,保健頸椎棒
ECO-03,,,保暖衫
ECO-02,,,保暖褲襪
ECO-201812,,,保暖襪（半統長襪）
0001048,,,保護頸U枕
CHQ8006,000036,,保護頸U枕
RT000218,RT000218,000164,前掌墊 MIA Metatarsal Cushion - Exrtra Soft （白色）
RT000217,RT000217,000163,前掌墊 MIA Metatarsal Cushion - Exrtra Soft （藍色）
TS3213,8858785400629,,勁咬脆米片-香蔥味
32190014,,,南瓜玉米濃湯
32041057,4710425203127,,南杏洛神甜心
32030143,4711942855400,,南棗核桃糕
OFARM831,,,南棗核桃糕
32030068,4710944890464,,南棗核桃糕350g
32055689,4712967082994,,南薑糖
PISS01,,,品高3層口罩（50個裝）
PISS02,,,品高3層口罩（獨立包裝）
0000077,000050,,室內無線電話 Amytel France
GBF-TH0030,8850987139000,8850987139000,帝皇菜即食面（冬蔭功）75g
BAYER301,5016003189906,,拜安康血糖紙CONTOUR 50 STRIPS
CONTOUR01,,,拜安康血糖試紙
BAYER04,,,拜耳贈品（三骨雨傘）
0001012,,,拾物器 10209BZ
RT00024,RT00024,2010100111341,指壓按摩球 (2 只)
4710960778029,4710960778029,4710960778029,枸杞菊花茶（18包）
4710960768020,4710960768020,4710960768020,枸杞菊花茶（獨立小包）
OFARM1990,4719859741953,,枸杞菊花養生飲
TEAM-0029,4712417850029,,柚子參
TEAM-2018,4712417856144,,柚子蔘（袋裝）
35010074,4710942009851,4710942103160,柚籽皂
LCL2003,,,洋車前子
LCL8009,,,洋車前子
GT07637,8858358007637,,洋蔥片
JSM005,,,洗傷口生理鹽水-JSM
JSM004,,,洗傷口消毒藥水-jsm
R0580,,,"洗澡椅27""-33""(愛健樂）                                      "
4712417851613,4712417851613,,洛神花茶（無糖15包入）
T003,4897047950131,,洛神花茶包
4710783055185,4710783055185,4710783055185,活力檸檬醋600ml/支
32240436,,,活性15+麥蘆卡蜂蜜(250g)
32240443,,,活性15+麥蘆卡蜂蜜(500g)
32240177,,,活性20+麥蘆卡蜂蜜(250g)
32240139,,,活性20+麥蘆卡蜂蜜(500g)
32240146,,,活性25+麥蘆卡蜂蜜(250g)
NSF100,4897025020603,4897025020344,炸魚皮
NSF101,4897025020160,4897025020160,炸蒜蓉
35020196,,,玻璃清潔劑
32170115,4713318881013,,珊瑚藻
32051858,4713676069030,,珊瑚藻凍(白葡萄味)
4713435206409,4713435206409,,珍天素香鬆（原味）300g
4710664200116,4710664200116,,珍田-五寶糙米果-180g
4710664200154,4710664200154,,珍田-活力十轂玄米棒-180g
GBF-TH0040,8850987139017,8850987139017,皇帝菜即食面（冬菇）75gX3
TH0010,8852523112010,8852523112010,皇帝菜麵（素食）
4712834112465,4712834112465,,研磨阿里山老薑茶飲
4712834112434,4712834112434,,研磨桂圓紅棗海燕窩
6000012,9556001125498,,約束衣（中碼藍色）
GT00014,8858945200014,,紅火龍果乾
0000267,000196,,紅外線額頭探體?計
IT001,IT001,,紅外線體溫計
4713282760529,4713282760529,,紅布朗 十穀米-900g
4713282767672,4713282767672,,紅布朗 台灣濃味杏仁-500g
4713282760284,4713282760284,U000697426,紅布朗 有機砂糖-500g
4713282768808,4713282768808,,紅布朗 有機高纖燕麥奶盒裝(8入)
4713282760291,4713282760291,,紅布朗 有機黑糖粉-450g
4713282768860,4713282768860,,紅布朗 香醇高鈣燕麥奶罐-850g
4713282762202,4713282762202,,紅布朗 香醇黑芝麻粉 500g
4713282766699,4713282766699,,紅布朗 黃金亞麻籽粉-350g
4713282762226,4713282762226,,紅布朗 黃金蕎麥杏仁茶-500g
4713282760208,4713282760208,,紅布朗 黑櫻桃乾-120g
4713282766668,4713282766668,,紅布朗 樂活精力湯-450g
4713282760512,4713282760512,,紅布朗 蔓越莓乾顆粒(袋)200g
4713282762271,4713282762271,,紅布朗 蔓越莓乾顆粒(罐)150g
4713282760161,4713282760161,,紅布朗 澳洲天然湖鹽-300g
4713282761816,4713282761816,,紅布朗 鹽烤3色Party脆果-170g
4713282762608,4713282762608,4713282762608,紅布朗八珍堅果（會員優惠裝）
4713282766606,4713282766606,,紅布朗山藥紫米漿-500g
4718749000231,4718749000231,,紅布朗天然岩鹽-600g
4713282767665,4713282767665,,紅布朗台灣濃味黑穀奶-500g
4713282761588,4713282761588,,紅布朗安地斯山玫瑰鹽-300g
4713282760079,4713282760079,,紅布朗有機小米-500g
4713282760321,4713282760321,,紅布朗有機中低筋麵粉-400g
4713282760307,4713282760307,,紅布朗有機全麥麵粉-400g
4713282760277,4713282760277,,紅布朗有機有機黑豆-500g
4713282760062,4713282760062,,紅布朗有機即食黑麥片-300g
4713282760055,4713282760055,,紅布朗有機即食燕麥片-300g
4713282760048,4713282760048,,紅布朗有機杏仁果-200g
4713282760109,4713282760109,,紅布朗有機亞麻仁籽-400g
4713282760338,4713282760338,,紅布朗有機南瓜子-300g
4713282760154,4713282760154,,紅布朗有機洋薏仁-500g
4713282760031,4713282760031,,紅布朗有機紅豆-500g
4713282760024,4713282760024,,紅布朗有機高蛋白黃豆-500g
4713282760314,4713282760314,,紅布朗有機高筋麵粉-400g
4713282760888,4713282760888,,紅布朗有機高纖燕麥奶 - 800g
4713282760086,4713282760086,,紅布朗有機腰果仁-200g
4713282760345,4713282760345,,紅布朗有機葵瓜仁-350g
4713282760093,4713282760093,,紅布朗有機綜合穀物片-300g
4713282760260,4713282760260,,紅布朗有機綠豆-500g
4713282766996,4713282766996,,紅布朗杏仁茶（500g）
4714425400029,4714425400029,,紅布朗杏仁茶-600g
4718749000286,4718749000286,,紅布朗昆布藻鹽-400g
4713282760192,4713282760192,,紅布朗玫瑰鹽杏仁果-120g
4713282760185,4713282760185,,紅布朗芝麻黑豆漿-500g
4713282760352,4713282760352,,紅布朗南杏片
4713282760116,4713282760116,,紅布朗洋車前子殼－有機纖維粉
4714425450062,4713282766682,,紅布朗紅薏仁粉-500g
4713282767603,4713282767603,,紅布朗美國冰茵櫻桃
4713282760789,4713282760789,,紅布朗風味堅果五穀漿-500g
4713282766576,4713282766576,,紅布朗宮廷補氣茶-6g*12包
4713282767610,4713282767610,,紅布朗堅果素香鬆-200g
47132827676140,47132827676140,,紅布朗堅果素香鬆-200g
4710700445204,4713282761236,,紅布朗甜玉米L
4713282760178,4713282760178,,紅布朗荷蘭水解卵磷脂
4713282760581B,,,紅布朗黃金百杏茶  (24包大盒裝)
4713282760932,4713282760932,,紅布朗黃金百杏茶 (8包小盒裝)
4713282760581A,4713282760581,,紅布朗黃金百杏茶（獨立包裝）
4713282760147,4713282760147,,紅布朗黃金晶冰糖
4714425400043,4714425400043,,紅布朗黑芝麻粉-500g
4713282762622,4713282762622,,紅布朗-輕烘焙-雙桃果仁
4714425486108,4714425486108,,紅布朗養生堅果-200g
4713282766880,4713282766880,4713282766880,紅布朗-鹽烤杏仁果（170g）
32054392,4712967083250,,紅李水果軟糖
32170146,4719870800615,,紅珊瑚藻
4710960778036,4710960778036,4710960778036,紅棗桂圓茶（18包）
4710960768037,4710960768037,4710960768037,紅棗桂圓茶（獨立小包）
0001119,4891690000618,,紅棗龍眼黑糖
32130188,,,紅棗醬
LCL0030,4711601991326,,紅薏仁粉
OFARM42,,,紅薏仁粉
LCL2002,,,紅薏仁粉（袋裝）
OFARM-GP0042,4897014722211,,紅薏仁粉250g
32055931,4710007879184,,紅藜棒
32190045,,,紅麴海帶芽湯
32110029,,,紅麴調味料
4710783055130,4710783055130,,美人桑堪醋600ml/支
4892030001098,4892030001098,,美心月餅（贈品）
35011446,,,美國Aubrey天然杏仁膠原護膚乳
35011477,,,美國Aubrey天然沙棘護膚乳
35011422,,,美國Aubrey天然金銀花玫瑰滋潤洗髮露
35011439,,,美國Aubrey天然金銀花玫瑰滋潤潤髮乳
35011460,,,美國Aubrey天然薔薇果護膚乳
35011538,,,美國Aubrey天然薰衣草依蘭平衡洗髮露
35011545,,,美國Aubrey天然薰衣草依蘭平衡潤髮乳
35011415,,,美國Aubrey天然藍甘菊補濕洗髮露
35011408,,,美國Aubrey天然藍甘菊補濕潤髮乳
35011514,,,美國Aubrey有機雲尼拿蜂蜜護唇膏
35011484,,,美國Aubrey有機橘子護唇膏
35011491,,,美國Aubrey有機薄荷茶樹護唇膏
35011507,,,美國Aubrey有機覆盆子護唇膏
201012-1,4860009001035,,美國有機純紅石榴藍莓汁
202003,735037020041,,美國有機無糖可可粉
104204,042563601096,,美國有機蘋果醋
8674220000144,8674220000144,8674220000144,美國無花果乾
MOON02,,,美國紫無花果茸月餅 (瓜子)
MOON01,,,美國紫無花果茸月餅 (原味)
MOON03,,,美國紫無花果茸月餅 (核桃)
M0002,4891035091493,4891035065913,美國雅培金裝加營素
MOON2001,,,美聖美國紫無花果月餅券
LCL0024,000211,,胎菊
GHSE201503,,,胖達人土鳳梨酥（10件裝）
GHSE201502,,,胖達人方塊酥（10件裝）
GHSE201501,,,胖達人蛋卷
32040081,4710879002239,4710879005575,胚芽餅 (8小包)
32040012,4710879000723,,胚芽餅(大）
32100013,,,胡麻油
4712417851637,4712417851637,,苦瓜茶
32100020,,,苦茶油
0002010,4719866300402,,苦茶粉
35020455,,,苦茶粉
35020042,4719866122318,,苦茶粉1公斤
FILE,,,風琴FILE
JJ059,9310140008059,,香米2kg
35016021,4710942103191,,香茅手工皂
35020011,,,香茅油
35010296,4710942007611,,香茅透明皂
IBN20,4895158008543,,香烤鹽焗美國杏仁200g
TS3201,8858785400544,,香脆米片（香辣）
TS3200,8858785400520,8858785400520,香脆米片（原味）
TS3202,8858785400537,,香脆米片（燒烤）
IBN05,4895158008536,,香脆鹽焗腰果仁200g
32180046,4710696930111,,香梅汁 360mL
32110975,,,香菇調味料
4712834114032,4712834114032,,香蓮普洱茶（18入）
4713282762028,4713282762028,,香醇豆奶粉(特價）
8859105800013,8859105800013,,香蕉朱古力
GT637,6939248100637,,凍乾水果（杏片）
GT1757,,,凍乾水果（桑莓）
00194,,,凍乾水果（草莓）
GT00194,6939248100194,,凍乾水果（草莓）
GT01061,6939248101061,,凍乾水果（無花果）
GT00170,6939248100170,,凍乾水果（蜜桃）
GT00196,,,凍乾榴蓮
GT82287,6937893682287,,凍乾雜菇
32140439,,,剝皮辣椒  (辣）
GA-0401,,,原木扶手椅
IBN21,,,原色雞心棗250g
IMP02,4895158005795,,原色雞心棗250g
32050240,4710425200874,,原味洋芋卷
32990232,4711202223024,,原味洋芋球
32190564,,,原味燕麥奶
32030167,4715898170051,,夏威夷豆黑棗糕
IBN07,,,家常羅漢果50g
IMP10,4895158006730,,家常羅漢果50g
7000020,9556001125487,,座地風扇
32052244,9555235990134,9555235990134,悅意有機糙米小圈圈
32052237,9555235990110,,悅意有機糙米圈-芝士
32240665,,,悅意芒果蜂蜜醋
32240658,,,悅意蜂蜜醋
32050448,4897021310289,,悅意糙米香
01170433,01170433,,旅行毛毯
LCL1002,4719865062226,,核桃粉
4710960301340,4710960301340,,核桃黑米糊500g
4711402033072,4711402033072,,核桃糕
4712834114353,4712834114353,,桂花烏龍茶
4712834112519,4712834112519,,桂圓紅棗小黑糖
4710783055161,4710783055161,,桂圓紅棗醋600ml/支
32130263,,,桑椹果醬190g
32130102,,,桑椹果醬240g
32240047,,,桑椹原汁(加糖)
32030099,4711202223178,,桑椹酥 (5件)
GBF-TX6000,8856977002637,,泰國100%全自然紅糖
TX6060,,,泰國100%龍眼蜂蜜250g
TN0200,8858897600016,,泰國GABA發芽香米麵
TN0202,8858897600030,,泰國GABA發芽黑米麵
TN0201,8858897600023,,泰國GABA發芽糙米麵
CC01000,,,泰國天然椰子油（1000ml）
GG0100,8858929700134,8858929700134,泰國天然椰子油（美容裝）
GG01000,8858929700066,,泰國天然椰子油1000ml
CC0250,8858929700127,,泰國天然椰子油250ml
GG0480,8858929700165,,泰國天然椰子油480ml
TA6016,8857121775742,857121775742,泰國天然椰子花蜜
TS300,8857121776770,8857121776770,泰國天然椰子花蜜糖（旅行3件裝）
TX3219,,,泰國冬蔭功米通（15gX3)
GBF-TR0050,8856972206283,,泰國有機3色米
OFARM701,4897014722655,,泰國有機三色米（ofarm）
GBF-TR0056,8856972206269,,泰國有機三色米500g
TX3268,,,泰國有機冬陰功米條
TS0018,8858785401510,,泰國有機古法鼓油
GBF-TR001A,8856972206061,,泰國有機白米500g
TR0070A,8856972206047,,泰國有機米1kg(Special Price)
GBF-TR0030,8856972206207,,泰國有機紅米1kg
GBF-TR0030A,8856972206252,8856972206252,泰國有機紅米500g
0001900,,,泰國有機紅蔥頭/蒜頭
GBF-TR0012,8856972206078,,泰國有機香米  5kg
OFARM601,4897014722099,,泰國有機香米（OFARM)
GBF-TR0010,8856972206009,,泰國有機香米1kg
GBF-TR0011,8856972206023,,泰國有機香米2kg
GBF-TR0021,8856972206115,,泰國有機香糙米
GBF-TR0020,8856972206108,,泰國有機香糙米1kg
GBF-TR0026,8856972206160,,泰國有機香糙米500g
GBF-TR0040,8856972206603,8856972206603,泰國有機黑米
GBF-TR0060,8856972206382,,泰國有機黑糯米
TS301,8857121776886,8857121776886,泰國有機椰子油（旅行3件裝）
TC4005,8859060300399,8859060300399,泰國有機醬油
TC1000,8858906400224,8859060300078,泰國青咖喱+（椰漿及甜羅勒葉）
GBF419,8850987351419,,泰國威化餅（椰子）
TR0080,8858785402012,,泰國特級有機胚芽糙米
TL0083,8858885700025,,泰國清潤桂圓茶
WYT6105B02,,,泰國龍眼肉300g
GT00021,8858945200021,8858945200021,泰國龍眼乾
ECO106,4897040130752,,浴室消毒濕紙巾
35020189,,,浴廁清潔劑
RDH40,,,浴椅
WH40001,,,浴椅
32150117,4971455019755,,海太郎原味嫩芽
32170061,,,海洋竹笙
LCL0013,4710984562260,4710984562260,海苔米果
32090062,4711518007370,,海苔素肉鬆
32054767,4711945737154,,海苔脆片
32040548,4710425201314,,海苔麥麩卷
32052459,4713318660397,,海苔酥
32140446,,,海苔醬
LCL0003,GFL1008,GFL1008,海帶芽
32170054,,,海帶芽根結
RSE01,078347851203,,消毒火酒75%（1000ml）
WH0013,4897002233637,,消毒酒精棉
32180039,4710696930135,,烏梅汁 360mL
32180053,,,烏梅汁1000mL
4710783088817,4710783088817,,烏醋240ml
32170047,,,烤岩生紫菜
0001040,,,特惠竹炭5包裝
0002003,,,特價有機菜(20/袋）
CH0015,4897012640791,,特價蜆殼粉
0001060,4891811991122,,珮氏成人抗菌紙尿片(大碼)(10包1箱)
0001059,4891811991115,,珮氏成人抗菌紙尿片(中碼)(10包1箱)
WH-C00126,,,病床餐檯
32050141,,,祖母綠有機吸凍
32240689,,,祖母綠諾麗果汁
32181746,4002631990695,4002631990695,祟德發天然純麥汁
LCL902,9555021806946,9555021806946,納豆海苔蘇打餅
LCL0034,9556001125500,,納豆雜菜粥
CH0014,4897012640777,,紐條粉
4710783056076,4710783056076,,純米醋500ml
LCL900,9555118659530,9555118659530,純素蔬菜餅
CHC001,,,純棉內衣
GHSE201801,,,純棉毛巾
ECOSURE01,,,純棉毛巾34cmX75cm
LCL6552,4712067896552,4712067896552,純黑芝麻
LCL0023,4711601970475,,純黑芝麻粉
LCL0035,4891690000621,,純黑糖
32110265,,,純磨香油
32090048,,,素肉鬆(原味)
35010067,4710942009844,4710942103153,素皂
32200041,,,素豆丁
32090239,,,素豆片
32200058,,,素豆條
32020748,,,素炸醬乾拌麵
32110104,4715351501026,,素食烏醋300mL
32110098,4715351501101,,素食烏醋600mL
DF008-01,4719854181037,4719854181037,素食調味料
32140460,,,素麻婆豆腐 (辣）
32170085,,,素螺肉
32110890,4710125010339,,素躁醬
108112,4715806190201,,能量E生機餅乾
JSM-WF260,,,脂肪水分電子磅
LCL0020,,,脆米片
70861,,,脆米樂（芥辣）
GT70861,8857102570861,,脆米樂（芥辣）
70847,,,脆米樂（南瓜果仁）
GT70847,8857102570847,,脆米樂（南瓜果仁）
70823,8857102570823,,脆米樂（原味迷你）
70854,,,脆米樂（海苔）
GT70854,8857102570854,,脆米樂（海苔）
4710783063166,4710783063166,,脆剝皮辣椒
35010333,,,茶樹精油
32053357,4711601000271,,起士糙米果
0000264,000194,,酒精消毒紙(100片)
0001051,9314839000919,,"針織竹炭靜脈曲張護套(小腿)B1-701(1大,2加大)"
0001137,9314839000932,,針織竹炭靜脈曲張護套(小腿)B1-701(大碼)
0001138,9314839000933,,針織竹炭靜脈曲張護套(小腿)B1-701(加大碼)
CHQ0006,4712764390582,,針織竹炭護肘 B1-301
0001054,,,"針織竹炭護肘 B1-301(1中,1大,2加大)"
0001135,9314839000930,,針織竹炭護肘 B1-301(大碼)
0001134,9314839000929,,針織竹炭護肘 B1-301(中碼)
0001136,9314839000931,,針織竹炭護肘 B1-301(加大碼)
0000065,000039,,針織竹炭護膝 B1-502
0001052,,,"針織竹炭護膝 B1-502(1小,1中,2加大)"
0001130,9314839000925,,針織竹炭護膝 B1-502(中碼)
0001131,9314839000926,,針織竹炭護膝 B1-502(加大碼)
0001129,9314839000924,,針織竹炭護膝 B1-502(細碼)
0000066,000040,,針織竹炭護踝 B1-601
0001053,,,"針織竹炭護踝 B1-601(1大, 2加大)"
0001132,9314839000927,,針織竹炭護踝 B1-601(大碼)
0001133,9314839000928,,針織竹炭護踝 B1-601(加大碼)
0000069,000042,,針織專業護腰 C1-402
0000068,000041,,針織專業護膝 B1-501
0000054,4712764390209,,除味空氣竹醋液(120ml)
0000054N,4712764390209N,,除味空氣竹醋液(120ml)(N)
0001044,,,除味空氣竹醋液(121ml)
0001045,,,除味空氣竹醋液(試用裝)
6930502422281,6930502422281,6930502422281,除味炭包150g
4719869121257,4719869121257,4719869121257,馬家手工面線（山藥味）
4719869121240,4719869121240,4719869121240,馬家手工面線（原味）
4719869121974,4719869121974,4719869121974,馬家手工面線（蕃茄味）
4719869121264,4719869121264,,馬家麵線（南瓜味）
32150070,4713327133318,,高山有機金針
LCL0027,4711601970666,,高鈣杏仁茶
LCL0027A,,,高鈣杏仁茶（袋裝）
LCL0200,4711601960124,,高鈣杏仁茶（袋裝）
32100693,8024358701138,8024358701138,高溫煮食油
32140071,4710977146217,,乾豆豉
35010425,,,健康牙刷(6支)
2017P1,,,健康食品福袋P1
2017H1,,,健康食品禮籃H1
2018H1,,,健康食品禮籃HI
TEAM-HES011,4716809010862,,健康時代-純濃豆漿粉（袋裝500g）
FB2016039,,,健康福袋2016039
FB201609,,,健康福袋201609
GIFT0112,,,健康禮物包
GIFT18,,,健康禮物包
PACK30,,,健康禮物福袋
KLT,,,健絡通活絡油（旅行版）
GREEN2019,4897064020077,4897064020077,健絡通活絡油旅行裝
MS0013,,,健源單色28格藥盒
LEUNG,,,參觀社企工作坊
M00031,,,唯諾金裝鈣骨寶
32130034,,,堅果醬
32130041,4710425200140,,堅果醬
OFARM461,,,崇德發天然黑麥汁
CRCC-1325,724101001325,724101001325,康源唐辛子竹酢保健貼2片
CRCC-0019,4892153111780,,康源茶籽墨旱蓮首烏洗髮露750ml
CRCC-0027,4892153900322,,康源透骨草田七活絡沐浴露1000ml
CRCC-3279,4892153901060,,康源黑豆人參當歸養潤洗髮露750ml
CRCC-0013,4892153111797,,康源檀香骨膠原沐浴露1000ml
WH-250A,000198,,"康樂 250A(11"" x 26"") 片芯                                   "
WH0001,4897002230070,,康樂日用大碼(10片)
WH-00080,4897002230063,,康樂日用中碼(10片)
OD0001,GFL1011,,康樂成人電子磅
OD0002,GFL1012,,康樂棉花棒
JJ0200,4030841005397,,強生ONETOUCH血糖機套裝
JJ0001,353885811026,,強生血糖紙Ultra Strip 50's
0000098N,353885811026N,,強生血糖紙Ultra Strip 50's (N)
0001058N,353885805018N,,強生血糖機(不可獨立買機)(N)
JJ0003,353885805018,,強生血糖機(贈品）
JJ0004,,,強生血糖機1盒+強生血糖紙(50's)2盒
JJ0002,353885798006,,強生採血針Ultrasoft Lancet 100's
0000099N,353885798006N,,強生採血針Ultrasoft Lancet 100's(N)
0000168,000119,,彩色 輕按式 7格藥盒
MS0012,000118,,彩色4x7日 28格藥盒
MS0001,000086,,彩色七日藥盒(每日一排四格)
0001089,4891690000608,,彩屏手機
4715409960768,4715409960768,4715409960769,御品黃金海苔脆片
0000062,000038,,排毒竹醋貼(4片)
0001050,,,排毒竹醋貼(5片)
0000076,000049,,探熱槍 (澳洲)  Medi Sain
32050066,2716301200060,,梅子果凍
32140057,,,梅干菜
32051469,,,梅津糖
32140385,,,梅香醬蘿蔔
32060034,,,梅粉
4712010361168,,,梅棗酵素
NSF114,,,梅棗酵素
32052541,,,梅精果凍
32052404,4710531201031,,梅精軟糖
32240085,,,梅醋
32110173,,,涼麵醬
LCL0100,4711601991456,,淮山粉
LCL0047,4711569025248,4897043099841,淮山餅
LCL0047A,,,淮山餅（試食2包裝）
T-F004,,,淮山麵
32120059,,,淳味紅冰糖
32120073,,,淳味黑糖糖塊
TN001,7310791182636,,添寧護你墊
SERVICE01,,,清潔服務
CASHCOUPON,,,現金券
CC0001,,,現金券
4710783055154,4710783055154,,甜蜜鳳梨醋600ml/支
32110258,,,甜辣醬
6927255479808,6927255479808,6927255479808,盒裝黑木耳
8852072900076,8852072900076,,粒粒椰肉椰青水
8852072900090,8852072900090,,粒粒蘆薈椰青水
32110326,4710425208009,,細海鹽
PT20140501,,,荷寶節日優惠套裝
PT16212,4897008640330,,荷寶萬用活洛油 15ml
PT0000175,000124,,荷寶萬用活洛油 50ml
PT177,000125,,荷寶優惠套裝 (活洛油+薄荷膏)
PT16211,4897008640347,,荷寶薄荷膏15gm
RG01,8710267730016,,荷蘭ROYAL GREEN天然無味椰子油250ml
RG01A,87288827,,荷蘭ROYAL GREEN天然無味椰子油500ml
RG02,0000087288827,,荷蘭ROYAL GREEN天然無味椰子油500ml
RG03,8710267730504,,荷蘭ROYAL GREEN椰子花蜜糖
FRIEND03,8853445000799,,蛋卷（香蕉）
FRIEND01,8853445000768,8853445000768,蛋卷（原味）
FRIEND02,8853445000829,,蛋卷（粟米）
FRIEND02A,,,蛋卷（粟米）-獨立包裝
0001020,4025515211006,21UY85723,袋裝式助聽器(西門子)
LCL8004,,,袋裝芝麻粉
0000255,000190,,袋鼠牌暖貼 (每包10個)
0001002,4710958593443,,軟式頸托 中碼
0000149,4710958593467,,"軟式頸扥 丰Foam Cervical collar, L size"
0000148,000106,,"軟式頸扥 丰Foam Cervical collar, medium size"
0000271,000199,,透氣乒乓球約束手套
CH05120053,4897012640821,,通粉（500g）
32190496,,,速登大豆卵磷脂
32191639,4711601970925,,野菜糙米粥(10入)
4713327001686,4713327001686,,陳年香柚茶
32110081,4715351601108,,陳年醋
35010029,,,陳年薄荷油
0000074,000047,,雀巢Compleat Chicken (雞味) 250ml ($375/箱/24 罐)
M237,,,雀巢天源素Compleat237ml（CHICKEN)
M2018,,,雀巢糖愈適
TEAM-SNL020,4712905016074,,雪之戀和風和風大福-黑糖
TEAM-SNL021,4712905016043,,雪之戀和風芝麻大幅
TEAM-SNL022,4712905016050,,雪之戀和風紅豆大幅
TEAM-SNL081,4713072172815,,雪之戀原味蛋卷
0000111,000078,,雪花霜—滋潤乾燥皮膚
QV-011707,9314839010477,9314839010477,雪花霜—滋潤乾燥皮膚100ml
QV-011708,9314839010460,9314839010460,雪花霜—滋潤乾燥皮膚Q.V.Cream -250g
QV-011709,9314839010453,9314839000997,雪花霜—滋潤乾燥皮膚Q.V.Cream -500g
32140392,,,雪蓮子麵筋
KAMKEE01,6901007037027,,麥芽糖
CAKE01,,,麥芽糖餅
32040609,4710879003199,,麥麩蘇打餅 400g
32052565,,,麥蘆卡13+蜂蜜喉糖(原味)
32052589,,,麥蘆卡13+蜂蜜喉糖(薑及紫錐花味)
32052572,,,麥蘆卡13+蜂蜜喉糖(檸檬蜂蜜味)
32021097,,,麻油當歸細麵(8入)
TEAM-EXC081,4710783001137,,麻油腐乳130g
4710783053150,,,麻油腐乳-300g
32110012,,,麻辣包
NSF20,4712417852351,4712417852351,麻鑽農坊牛蒡片300g
32041354,4711202220252,,傘餅
OFBC001A,,,喂食用奶樽接駁喉
OFBC001,,,喂食用奶樽駁喉
OFARM1452,,,喜馬拉雅山岩鹽150g
MS5620,AD5620,,單色4X7日28格藥盒
32140088,,,壺底豆鼓
M0300,300089266022,,惠氏倍力加
CH0035,8801105906592,,提子椰果汁
S0010,,,換購禮品（10元）
S0015,,,換購禮品（15元）
S0020,,,換購禮品（20元）
S0005,,,換購禮品（5元）
32120011,,,晶冰糖1公斤
MS0002,000088,,智能響鬧提示藥盒
0000130,000089,,智能響鬧提示藥盒(買10送1)
4710783063050,4710783063050,,朝天辣椒王
ML03,4891094972023,4891094972023,植物活力液
32190397,,,植物燕麥奶
JSM-SIN-CF005,,,減壓坐墊
MOON2014,,,無花果月餅（獨立裝）
4713282763230,4713282763230,,無花果乾
0000146,000104,,無背鋁質浴椅
0001001,,,無背鋁質浴椅(可調較高度)
35020097,,,無患子多用途清潔液
35010364,,,無患子洗髮乳
35010357,,,無患子蜂膠潔牙液
JSM-7105,,,無菌不織布紗布片
JSM902,,,無菌厚墊敷料
JSM-100022,,,無菌敷料包
HOME02,,,無鉛皮蛋
OFARM1791,4897014725854,,無糖小紅莓養生餅120g
OFARM1811,4897014725847,,無糖杏仁養生餅120g
OFARM1801,4897014725830,,無糖南瓜子養生餅
LCL1003,9555118727208,,無糖納豆紅菊餅
LCL1004,4897043099599,,無糖蕎麥梳打餅
LCL1004A,,,無糖蕎麥蘇打餅（獨立包裝）
LCL1005,4897043099582,,無糖螺旋藻梳打餅
LCL1005A,,,無糖螺旋藻蘇打餅（獨立包裝）
LCL904,4897043099247,4897043099247,猴頭菇餅
4713327297577,4713327297577,,琦家山藥玉米濃湯盒裝
4713327184013,4713327184013,,琦家山藥卷盒裝
4713327161625,4713327161625,,琦家山藥益力素
4713327273632,4713327273632,,琦家山藥養生濃湯盒裝
4713327246445,4713327246445,,琦家山藥養生燕麥粉盒裝
4713327124095,4713327124095,,琦家山藥養生薏仁粉400g
4713327183993,4713327183993,,琦家山藥養生薏仁粉盒裝
LCL0048,9557615846598,9557615846598,番薯餅
LCL0048A,00048,,番薯餅（獨立包裝2包裝）
0000277,000205,,短扶手，座寬41CM 座高47CM
GT003,6928740700124,,筒裝蘋果乾 50g
FRIEND05,8994075260532,,粟米棒（芝士）
FRIEND04,8994075260488,,粟米棒（原味）
32055719,4710728202230,,紫米黑芝麻球
MC00929,000097,,紫花紋
4897030020018,4897030020018,4897030020018,紫無花果月餅（原味）
LCL00030,,,紫菜
4710960912270,4710960912270,,紫薯酵母（10小包）
4710960762271,4710960762271,4710960762271,紫薯酵母（獨立小包）
M0003,8712405554558,,腎怡康Renilon4.0(24/箱）
32180084,4710696930982,,菊花茶
32055757,4712052011885,,菜脯餅
8858945200052,,,菠蘿乾
CRCC-0422,722302000422,,華潤堂九製陳皮喉糖
